kalfirvach,concepto,pos,categoria,ipa,lengua_origen,raiz_original
dāriswal,centeno,noun,Seres Vivos Plantas,/ˈdaː.ris.wal/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: جاودار (jawdār) / GK Koiné: σίκαλις (síkalis) / Persa mod.: چاودار (čowdār)
keszorne,mijo,noun,Seres Vivos Plantas,/kes.ˈzor.ne/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: دخن (duḫn) / GK Koiné: κέγχρος (kénkʰros) / Persa mod.: ارزن (arzan)
emsokni,sésamo,noun,Seres Vivos Plantas,/em.ˈsok.ni/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: سمسم (simsim) / GK Koiné: σήσαμον (sēsamon) / Persa mod.: کنجد (konjed)
iwōkan,quinoa,noun,Seres Vivos Plantas,/i.ˈwoː.kan/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: کینوا (kinwā) / GK Koiné: κίνουα (kínoa) / Persa mod.: کینوآ (kinōā)
ghunsoro,sorgo,noun,Seres Vivos Plantas,/ɣun.ˈso.ro/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: دخينة (daḫīna) / GK Koiné: σόργον (sórgon) / Persa mod.: سورو (sōrū)
sēbātfēm,manzana,noun,Seres Vivos Plantas,/ˈseː.baːt.feːm/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: تفّاح (tuffāḥ) / GK Koiné: μῆλον (mē̂lon) / Persa mod.: سیب (sīb)
lināsbāp,pera,noun,Seres Vivos Plantas,/li.ˈnaːs.baːp/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: إجهض (ijāṣ) / GK Koiné: ἀπίον (apíon) / Persa mod.: گلابی (golābī)
dūhrūlwa,durazno (melocotón),noun,Seres Vivos Plantas,/ˈduːh.ruːl.wa/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: خوخ (ḫawḫ) / GK Koiné: ῥοδάκινον (rodákinon) / Persa mod.: هلو (hūlū)
rosoktīn,higo,noun,Seres Vivos Plantas,/ro.sok.ˈtiːn/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: تين (tīn) / GK Koiné: σῦκον (sŷkon) / Persa mod.: انجیر (anjīr)
onemur,granada (fruta),noun,Seres Vivos Plantas,/o.ˈne.mur/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: رمّان (rummān) / GK Koiné: ῥοιά (roiá) / Persa mod.: انار (anār)
mūrkūlnā,ciruela,noun,Seres Vivos Plantas,/ˈmuːr.kuːl.naː/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: برقوق (barqūq) / GK Koiné: κοκκύμηλον (kokkýmelon) / Persa mod.: آلو (ālū)
inlūmo,limón,noun,Seres Vivos Plantas,/in.ˈluː.mo/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: ليمون (laimūn) / GK Koiné: λεμόνιον (lemónion) / Persa mod.: لیمو (līmū)
rasiplen,naranja,noun,Seres Vivos Plantas,/ra.ˈsip.len/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: نارنج (nāranj) / GK Koiné: νεράντζιον (nerántzion) / Persa mod.: پرتقال (porteqāl)
borwūnim,plátano,noun,Seres Vivos Plantas,/bor.ˈwuː.nim/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: موز (mawz) / GK Koiné: βανανάριον (bananárion) / Persa mod.: موز (mūz)
zesronol,cereza,noun,Seres Vivos Plantas,/zes.ˈro.nol/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: جوزالبن (jawz al-bann) / GK Koiné: κεράσιον (kerásion) / Persa mod.: گيلاس (gīlās)
serdūkāh,lechuga,noun,Seres Vivos Plantas,/ser.ˈduː.kaːh/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: خس (ḫass) / GK Koiné: θρίδαξ (thrídax) / Persa mod.: کاهو (kāhū)
nespebek,espinaca,noun,Seres Vivos Plantas,/nes.ˈpe.bek/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: سبناخ (sibānaḫ) / GK Koiné: σπανάκιον (spanákion) / Persa mod.: اسفناج (esfēnāǧ)
virōntōh,zanahoria,noun,Seres Vivos Plantas,/vi.ˈroːn.toːh/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: جزر (jazr) / GK Koiné: καρώτον (karōton) / Persa mod.: هویج (havij)
rākhisik,pepino,noun,Seres Vivos Plantas,/ˈraː.xi.sik/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: خيار (ḫiyār) / GK Koiné: σίκυος (síkys) / Persa mod.: خیار (ḫiyār)
boratfen,tomate,noun,Seres Vivos Plantas,/bo.ˈrat.fen/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: باذنجان (bāṭinjān) / GK Koiné: τομάτα (tomáta) / Persa mod.: گوجه‌فرنگی (gojefarangi)
māpbosol,cebolla,noun,Seres Vivos Plantas,/ˈmaːp.bo.sol/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: بصل (baṣal) / GK Koiné: κρόμμυον (krómmion) / Persa mod.: پیاز (piyāz)
dotkīsno,ajo,noun,Seres Vivos Plantas,/dot.ˈkiːs.no/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: ثوم (ṯūm) / GK Koiné: σκόροδον (skórodon) / Persa mod.: سیر (sīr)
faratpil,rábano,noun,Seres Vivos Plantas,/fa.ˈrat.pil/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: فجل (fijl) / GK Koiné: ῥαφανίς (raphanís) / Persa mod.: ترب (torb)
dibilmen,berenjena,noun,Seres Vivos Plantas,/di.ˈbil.men/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: باذنجان (bāṭinjān) / GK Koiné: μελιτζάνιον (melitzánion) / Persa mod.: بادمجان (bādenǧān)
rūkūden,calabaza,noun,Seres Vivos Plantas,/ˈruː.kuː.den/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: قرع (qarʿ) / GK Koiné: κολοκύνθη (kolokýnthē) / Persa mod.: کدو (kadū)
notsalba,brote (retoño verde),noun,Seres Vivos Plantas,/not.ˈsal.ba/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: نبات (nabāt) / GK Koiné: βλαστός (blastós) / Persa mod.: جوانه (javāne)
basnipla,yema (brote de planta),noun,Seres Vivos Plantas,/bas.ˈnip.la/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: بغل (baġal) / GK Koiné: ὀφθαλμός (ophtalmós) / Persa mod.: جوانه (javāne)
fostilpo,corteza,noun,Seres Vivos Plantas,/fos.ˈtil.po/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: لحاء (liḥāf) / GK Koiné: φλοιός (pʰloió̲s) / Persa mod.: پوست (pūst)
kedolner,raíz tuberosa,noun,Seres Vivos Plantas,/ke.ˈdol.ner/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: جذر (jaḏr) / GK Koiné: κονδύλη (kondýlē) / Persa mod.: ریشه (riše)
farbenhe,vástago (brote tierno),noun,Seres Vivos Plantas,/far.ˈben.he/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: فرع (farʕ) / GK Koiné: βλαστός (blastós) / Persa mod.: نهال (nahāl)
sīpkemlī,zarcillo,noun,Seres Vivos Plantas,/ˈsiːp.kem.liː/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: عريقا (ʕarīqa) / GK Koiné: ἕλικες (hélikes) / Persa mod.: پیچک (pīčak)
beksiple,alga,noun,Seres Vivos Plantas,/bek.ˈsip.le/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: طحلب (ṭaḥlab) / GK Koiné: φῦκος (pʰŷkos) / Persa mod.: جلبک (jalbak)
selgene,liquen,noun,Seres Vivos Plantas,/sel.ˈge.ne/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: شائب (šāʼib) / GK Koiné: λειχήν (leikhḗn) / Persa mod.: گوسن (gosen)
tesirop,helecho,noun,Seres Vivos Plantas,/te.ˈsi.rop/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: سرخس (saraḫs) / GK Koiné: πτέρις (ptéris) / Persa mod.: بسّور (bosur)
mikferit,hongo parásito,noun,Seres Vivos Plantas,/mik.ˈfe.rit/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: فطر (faṭr) / GK Koiné: μύκης (mýkēs) / Persa mod.: قارچ (qārc)
demānhek,trufa (hongo subterráneo),noun,Seres Vivos Plantas,/de.ˈmaːn.hek/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: كمأة (kamʔa) / GK Koiné: ὕδνον (hýdnon) / Persa mod.: دنبلان (donbalān)
wankata,cardo,noun,Seres Vivos Plantas,/wan.ˈka.ta/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: شوک (shawk) / GK Koiné: ἄκανθα (ákantha) / Persa mod.: خار (ḫār)
nohzālke,ortiga,noun,Seres Vivos Plantas,/noh.ˈzaːl.ke/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: حالول (ḥālūl) / GK Koiné: κνίδη (knídē) / Persa mod.: گزنه (gözene)
nikaltas,acacia,noun,Seres Vivos Plantas,/ni.ˈkal.tas/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: سنط (sanṭ) / GK Koiné: ἀκακία (akakía) / Persa mod.: سنقال (senkāl)
bamsakni,caña de azúcar,noun,Seres Vivos Plantas,/bam.ˈsak.ni/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: قصب (qaṣab) / GK Koiné: κάλαμος (kálamos) / Persa mod.: نی‌شکر (neyšakar)
sanharbī,cáñamo,noun,Seres Vivos Plantas,/san.har.ˈbiː/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: شهير (šahīr) / GK Koiné: κάνναβις (kánnabis) / Persa mod.: شاهدانه (šāhedāne)
tusnukpo,tabaco (planta),noun,Seres Vivos Plantas,/tus.ˈnuk.po/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: دخان (duḫān) / GK Koiné: καπνός (kapnós) / Persa mod.: توتان (tūtān)
benvēhus,café (planta),noun,Seres Vivos Plantas,/ben.ˈveː.hus/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: بن (bunn) / GK Koiné: καφές (kafés) / Persa mod.: قهوه (qahve)
ināshit,té (planta),noun,Seres Vivos Plantas,/i.ˈnaː.ʃit/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: شای (šāy) / GK Koiné: τέον (téon) / Persa mod.: چای (čāy)
fīlrīzen,jengibre,noun,Seres Vivos Plantas,/ˈfiːl.riː.zen/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: زنجبيل (zanjabīl) / GK Koiné: ζιγγίβερις (zingíberis) / Persa mod.: زنجفیل (zanjafīl)
zudukru,cúrcuma,noun,Seres Vivos Plantas,/zu.ˈduk.ru/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: كركم (kurkum) / GK Koiné: κουρκούμη (kourkoúmē) / Persa mod.: زردچوبه (zardčūbe)
mēndolok,cardamomo,noun,Seres Vivos Plantas,/ˈmeːn.do.lok/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: قاقلة (qāqulla) / GK Koiné: καρδάμωμον (kardámōmon) / Persa mod.: هل (hel)
fākzenes,azafrán (planta),noun,Seres Vivos Plantas,/ˈfaːk.ze.nes/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: زعفران (zaʕfarān) / GK Koiné: κρόκος (krókos) / Persa mod.: زعفران (zaʕfarān)
konumrul,clavo (especia),noun,Seres Vivos Plantas,/ko.ˈnum.rul/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: قرنفل (qaranful) / GK Koiné: καρυόφυλλον (karyóphyllon) / Persa mod.: میخک (miḫk)
woneksir,nuez moscada,noun,Seres Vivos Plantas,/wo.ˈnek.sir/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: جوز الطيب (jawz aṭ-ṭīb) / GK Koiné: μοσχοκάρυον (mosxokáryon) / Persa mod.: جوز (javaz)
bidāsnā,anís,noun,Seres Vivos Plantas,/bi.ˈdaːs.naː/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: أنيسون (anīsūn) / GK Koiné: ἄνησον (ánēson) / Persa mod.: بادیان (bādiyān)
narmeku,comino,noun,Seres Vivos Plantas,/nar.ˈme.ku/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: كمون (kamūn) / GK Koiné: κύμινον (kýminon) / Persa mod.: زیره (zire)
ripletem,nabo,noun,Seres Vivos Plantas,/rip.ˈle.tem/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: لفٹ (lift) / GK Koiné: ῥάπυς (ráphys) / Persa mod.: شلغم (šalǧam)
pitares,puerro,noun,Seres Vivos Plantas,/pi.ˈta.res/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: كراث (kurrāṯ) / GK Koiné: πράσον (práson) / Persa mod.: تره‌فرنگی (tare-farangi)
felinrek,apio,noun,Seres Vivos Plantas,/fe.ˈlin.rek/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: كرفس (karafs) / GK Koiné: σέλινον (sélinon) / Persa mod.: کرفس (karafs)
pilredes,mostaza (planta),noun,Seres Vivos Plantas,/pil.ˈre.des/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: خردل (ḫardal) / GK Koiné: σίνᾰπι (sínapi) / Persa mod.: خردل (ḫordal)
ashemnāk,amapola silvestre,noun,Seres Vivos Plantas,/a.ʃem.ˈnaːk/,Árabe esotérico / Griego Koiné / Persa moderno,Árabe esotérico: خشخاش بري (ḫaṣḫāṣ bariyy) / GK Koiné: μήκων ἀγρία (mē̆kōn agría) / Persa mod.: شقایق (šaqaːyeq)
kiptēr,talón,noun,Anatomia Y Cuerpo,/kipˈteːr/,Árabe esotérico / Griego Koiné,"عَقِب (ʿaqib) ""talón"" (Ar) / πτέρνα (pterna) ""talón"" (Gr)"
ákšibal,ojo,noun,Anatomia Y Cuerpo,/ˈak.ʃi.bal/,Sánscrito Védico / Árabe esotérico / Copto Sahídico,"अक्षि akṣi ""ojo"" (Skt) / عين ʿayn ""ojo"" (Ar) / ⲃⲁⲗ bal ""ojo"" (Cop)"
andōt,huevo,noun,Anatomia Y Cuerpo,/ˈan.doːt/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"अण्ड aṇḍa ""huevo"" (Skt) / ᾠόν ōón ""huevo"" (Gr) / بيضة bayḍa ""huevo"" (Ar)"
angsht,dedo,noun,Anatomia Y Cuerpo,/ˈaŋ.ʃt/,Persa Avéstico / Egipcio Demótico,angust 'dedo' + sḫt 'señalar'
antram,entranas/tripas,noun,Anatomia Y Cuerpo,/ˈan.tram/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"अन्त्र antra ""intestino, entraña"" (Skt) / ἔντερον enteron ""intestino"" (Gr) / أَمْعَاء ʾamʿāʾ ""intestinos, entrañas"" (Ar)"
aprus,ceja,noun,Anatomia Y Cuerpo,/ˈap.rus/,Persa Avéstico / Sánscrito Védico / Griego Koiné,"ابرو abrū ""ceja"" (Pers) / भ्रू bhrū ""ceja"" (Skt) / ὀφρῦς ophrys ""ceja"" (Gr)"
arkolf,codo,noun,Anatomia Y Cuerpo,/ˈar.kolf/,Griego Koiné / Copto Sahídico / Árabe esotérico,"ωλένη ōlenē ""codo, antebrazo"" (Gr) / ⲕⲉⲗⲉⲛⲕⲉϩ kelenkeh ""codo"" (Cop, KELLIA) / مرفق mirfaq ""codo"" (Ar)"
arter,arteria,noun,Anatomia Y Cuerpo,/ˈar.ter/,Griego Koiné / Tibetano Clásico,ἀρτηρία (artēria) 'arteria' / rtsa 'vaso'
astakh,hueso,noun,Anatomia Y Cuerpo,/ˈas.tax/,Sánscrito Védico / Griego Koiné / Persa,"अस्थि asthi ""hueso"" (Skt) / ὀστέον osteon ""hueso"" (Gr) / استخوان ostekhvān ""hueso"" (Pers)"
aqip,tobillo,noun,Anatomia Y Cuerpo,/ˈa.kip/,Árabe esotérico / Egipcio Demótico,ʿaqib 'tobillo' / bꜣs 'talón'
bashlam,párpado,noun,Anatomia Y Cuerpo,/ˈbaʃ.lam/,Egipcio Demótico / Griego Koiné,bꜣš 'párpado' + blémma 'vista'
blefar,pestaña,noun,Anatomia Y Cuerpo,/ˈble.far/,Griego Koiné / Egipcio Demótico,βλεφαρίς (blepharis) 'pestaña' / bšꜣ 'ceja'
dakru,lágrima,noun,Anatomia Y Cuerpo,/ˈda.kru/,Griego Koiné / Persa Avéstico,δάκρυον (dakryon) 'lágrima' / aštru- 'lágrima'
danta,diente,noun,Anatomia Y Cuerpo,/ˈdan.ta/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"दन्त danta ""diente"" (Skt) / dantan- ""diente"" (Pers) / ὀδόντος odóntos gen. ""diente"" (Gr)"
flep,vena,noun,Anatomia Y Cuerpo,/ˈflep/,Griego Koiné / Persa Avéstico,φλέψ (phleps) 'vena' / rag 'vena'
glout,nalga,noun,Anatomia Y Cuerpo,/ˈglo.ut/,Griego Koiné / Egipcio Demótico,γλουτός (gloutos) 'nalga' / pꜣgs 'muslo'
gonos,semen,noun,Anatomia Y Cuerpo,/ˈgo.nos/,Griego Koiné / Persa Avéstico,"γόνος (gonos) 'semen, generación' / snaoda- 'fluido'"
gurzam,garganta,noun,Anatomia Y Cuerpo,/ˈɡur.zam/,Persa Avéstico / Árabe esotérico,gulū 'garganta' + zam 'tragar/prensar'
hasta,mano,noun,Anatomia Y Cuerpo,/ˈhas.ta/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"हस्त hasta ""mano"" (Skt) / zasta- ""mano"" (Pers /z/→/s/) / χείρ cheír ""mano"" (Gr)"
hidros,sudor,noun,Anatomia Y Cuerpo,/ˈhi.dros/,Griego Koiné / Persa Avéstico,ἱδρώς (hidrōs) 'sudor' / arağ 'sudor'
kalklōs,riñón,noun,Anatomia Y Cuerpo,/ˈkal.kloːs/,Árabe esotérico / Copto Sahídico / Griego Koiné,"كلية kulya ""riñón"" (Ar) / ϭⲗⲱⲧ člōt ""riñón"" (Cop, KELLIA) / νεφρός nephros ""riñón"" (Gr)"
kamar,cintura,noun,Anatomia Y Cuerpo,/ˈka.mar/,Persa Avéstico / Griego Koiné,kamar 'cintura' / ὀσφύς (osphys) 'cintura'
kanta,cuello/pescuezo,noun,Anatomia Y Cuerpo,/ˈkan.ta/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"कण्ठ kaṇṭha ""cuello"" (Skt) / kanta- ""cuello"" (Pers) / τράχηλος tráchēlos ""cuello, pescuezo"" (Gr)"
karna,oreja/oido,noun,Anatomia Y Cuerpo,/ˈkaɾ.na/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"कर्ण kárṇa ""oreja"" (Skt) / karəna- ""oreja"" (Pers) / οὖς oûs, gen. ὠτός ōtós ""oreja"" (Gr)"
katamen,menstruación,noun,Anatomia Y Cuerpo,/ˈka.ta.men/,Griego Koiné / Egipcio Demótico,καταμήνια (katamēnia) 'menstruación' / ḫꜣj 'período'
kesha,pelo/cabello,noun,Anatomia Y Cuerpo,/ˈke.ʃa/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"केश keśa ""cabello"" (Skt) / gis ""cabello"" (Pers) / τρίχες tríches ""cabellos"" pl. (Gr)"
khas,cadera,noun,Anatomia Y Cuerpo,/ˈxas/,Egipcio Demótico / Árabe esotérico,ḫs 'cadera/hueso' + khaṣṣ 'fuerte'
kholos,bilis/hiel,noun,Anatomia Y Cuerpo,/ˈxo.los/,Griego Koiné / Persa Avéstico,χολή (cholē) 'bilis' / zahrā 'bilis/veneno'
lapšōš,labio,noun,Anatomia Y Cuerpo,/lapˈʃoːʃ/,Griego Koiné / Árabe esotérico / Sánscrito Védico,"χεῖλος cheilos ""labio"" (Gr) / شفة shafa ""labio"" (Ar) / ओष्ठ oṣṭha ""labio"" (Skt)"
makhzir,cerebro,noun,Anatomia Y Cuerpo,/ˈmax.zir/,Persa Avéstico / Griego Koiné,maghz 'cerebro' + hierós 'sagrado'
mamsa,carne,noun,Anatomia Y Cuerpo,/ˈmam.sa/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"mamsa ""carne"" / meris ""parte"""
marmar,pupila,noun,Anatomia Y Cuerpo,/ˈmar.mar/,Griego Koiné / Árabe esotérico,marmairō 'brillar' + mar' 'ver'
maskhal,axila,noun,Anatomia Y Cuerpo,/ˈmas.xal/,Griego Koiné / Persa Avéstico,μασχάλη (maschalē) 'axila' / zir-baghal 'axila'
maza,pezón,noun,Anatomia Y Cuerpo,/ˈma.za/,Griego Koiné / Copto Demótico,"μαστός mastós ""pecho/pezón"" (Gr) / mḥ-ꜣ ""leche-pecho"" (Cop ⲙⲁϩϣⲉ) / šd ""pecho"" (Eg)"
medun,grasa/manteca,noun,Anatomia Y Cuerpo,/ˈme.dun/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"मेदस् medas ""grasa"" (Skt) / στέαρ stear ""grasa, sebo"" (Gr) / دُهْن duhn ""grasa, aceite"" (Ar)"
mekh,estómago,noun,Anatomia Y Cuerpo,/ˈmex/,Egipcio Demótico / Griego Koiné,mẖ 'estómago' + mēkōn 'cavidad'
mestra,matriz/útero,noun,Anatomia Y Cuerpo,/ˈmes.tra/,Griego Koiné / Egipcio Demótico,μήτρα (mētra) 'matriz' / ḥmt 'matriz'
mokram,muñeca,noun,Anatomia Y Cuerpo,/ˈmo.kram/,Egipcio Demótico / Griego Koiné / Sánscrito Védico,"mšꜣ ""muñeca, articulación"" (Egi) / καρπός karpos ""muñeca"" (Gr) / मणिबन्ध maṇibandha ""articulación de la muñeca"" (Skt)"
mukha,boca,noun,Anatomia Y Cuerpo,/ˈmu.xa/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"मुख mukha ""boca"" (Skt) / mux- ""boca"" (Pers) / στόμα stóma ""boca"" (Gr)"
mustak,bigote,noun,Anatomia Y Cuerpo,/ˈmus.tak/,Griego Koiné / Persa Avéstico,μύσταξ (mustax) 'bigote' / savār 'bigote'
nakhon,una,noun,Anatomia Y Cuerpo,/ˈna.xon/,Sánscrito Védico / Griego Koiné / Persa,"नख nakha ""uña"" (Skt) / ὄνυξ onyx ""uña"" (Gr) / ناخن nākhun ""uña"" (Pers)"
narmōs,nervio,noun,Anatomia Y Cuerpo,/narˈmoːs/,Griego Koiné / Copto Sahídico / Árabe esotérico,"νεῦρον neuron ""nervio, tendón"" (Gr) / ⲙⲟⲩⲧ mout ""nervio, tendón, coyuntura"" (Cop, KELLIA) / عصب ʿaṣab ""nervio"" (Ar)"
nasa,nariz,noun,Anatomia Y Cuerpo,/ˈna.sa/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"नासा nāsā ""nariz"" (Skt) / na- ""nariz"" (Pers) / ῥίς rhís, gen. ῥινός rhinós ""nariz"" (Gr)"
omšōft,hombro,noun,Anatomia Y Cuerpo,/ˈom.ʃoːft/,Griego Koiné / Copto Sahídico / Árabe esotérico,"ὦμος ōmos ""hombro"" (Gr) / ϣⲱⲡϣ šōpš ""hombro, brazo"" (Cop, KELLIA) / كتف kataf ""hombro"" (Ar)"
omfal,ombligo,noun,Anatomia Y Cuerpo,/ˈom.fal/,Griego Koiné / Persa Avéstico,ὀμφαλός (omphalos) 'ombligo' / nāf 'ombligo'
ouron,orina,noun,Anatomia Y Cuerpo,/ˈo.u.ron/,Griego Koiné / Persa Avéstico,οὖρον (ouron) 'orina' / mīzda- 'orinar'
padam,pie,noun,Anatomia Y Cuerpo,/ˈpa.dam/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"पद pada ""pie"" (Skt) / πούς pous, gen. ποδός podos ""pie"" (Gr) / قَدَم qadam ""pie"" (Ar)"
paksha,ala,noun,Anatomia Y Cuerpo,/ˈpak.ʃa/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"पक्ष pakṣa ""ala"" (Skt) / par ""pluma"" (Pers) / πτέρυξ ptéryx ""ala"" (Gr)"
panka,pluma,noun,Anatomia Y Cuerpo,/ˈpan.ka/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"पक्ष pakṣa ""ala, pluma"" (Skt) / par ""pluma"" (Pers) / πτερόν pterón ""pluma, ala"" (Gr)"
pirishdar,espalda,noun,Anatomia Y Cuerpo,/piˈriʃ.dar/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"पृष्ठ pṛṣṭha ""espalda"" (Skt) / νῶτος nōtos ""espalda"" (Gr) / ظَهْر ẓahr ""espalda"" (Ar)"
pogon,barba,noun,Anatomia Y Cuerpo,/ˈpo.gon/,Griego Koiné / Egipcio Demótico,πώγων (pōgōn) 'barba' / sꜣnḫ 'barba'
prosōh,cara/rostro,noun,Anatomia Y Cuerpo,/proˈsoːh/,Griego Koiné / Copto Sahídico / Árabe esotérico,"πρόσωπον prosōpon ""cara, rostro"" (Gr) / ϩⲟ ho ""cara, rostro, presencia"" (Cop, KELLIA) / وجه wajh ""cara, rostro"" (Ar)"
pucha,cola (de animal),noun,Anatomia Y Cuerpo,/ˈpu.tʃa/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"पुच्छ puccha ""cola"" (Skt) / pusa- ""cola"" (Pers) / οὐρά ourá ""cola"" (Gr)"
rakta,sangre,noun,Anatomia Y Cuerpo,/ˈrak.ta/,Sánscrito Védico / Persa Avéstico / Griego Koiné,"रक्त rakta ""sangre"" (Skt) / raoda- ""sangre"" (Pers) / αἱματο- haimato- ""sangre"" (Gr, forma combinatoria)"
rakhtar,muslo,noun,Anatomia Y Cuerpo,/ˈrax.tar/,Persa Avéstico / Árabe esotérico,rakh 'muslo' + tar 'largo/extendido'
rar,intestino,noun,Anatomia Y Cuerpo,/ˈrar/,Egipcio Demótico / Griego Koiné,rḫ 'intestino' + rharē 'costura'
ridayal,corazon,noun,Anatomia Y Cuerpo,/ˈri.da.jal/,Sánscrito Védico / Griego Koiné / Árabe esotérico,"हृदय hṛdaya ""corazón"" (Skt) / καρδία kardia ""corazón"" (Gr) / قَلْب qalb ""corazón"" (Ar)"
rukhsal,mejilla,noun,Anatomia Y Cuerpo,/ˈrux.sal/,Persa Avéstico / Sánscrito Védico / Griego Koiné,"ruxsār ""mejilla"" (Pers) / कपोल kapola ""mejilla"" (Skt) / παρειά pareia ""mejilla"" (Gr)"
sakh,pantorrilla,noun,Anatomia Y Cuerpo,/ˈsax/,Persa Avéstico / Egipcio Demótico,sāq 'pantorrilla' / jꜥꜣ 'pierna'
sadros,pecho (tórax),noun,Anatomia Y Cuerpo,/sadˈros/,Árabe esotérico / Griego Koiné / Copto,"صَدْر (ṣadr) ""pecho, tórax"" (Ar) / στῆθος (stēthos) ""pecho"" (Gr) / ⲙⲉⲥⲑⲏⲧ (mesthēt) ""pecho"" (Cop)"
sehat,frente,noun,Anatomia Y Cuerpo,/ˈse.hat/,Egipcio Demótico / Sánscrito Védico / Griego Koiné,"sḥ ""frente"" (Egi) / ललाट lalāṭa ""frente"" (Skt) / μέτωπον metōpon ""frente"" (Gr)"
siyal,saliva,noun,Anatomia Y Cuerpo,/ˈsi.jal/,Griego Koiné / Egipcio Demótico,σίαλον (sialon) 'saliva' / sfṯ 'escupir'
shash,pulmón,noun,Anatomia Y Cuerpo,/ˈʃaʃ/,Egipcio Demótico / Griego Koiné,šš 'pulmón' + sakkos 'saco'
